disdainful,excited,0.571428571
alarmed,distressed,7.733333333
astounded,surprised,9.142857143
miffed,fearful,1.833333333
sorrowful,pleased,0.214285714
aghast,mad,6.266666667
distressed,pissed,7.333333333
frustrated,frustrated,10
stunned,worried,4.466666667
pissed,fearful,4.066666667
confused,startled,6.214285714
upset,scared,5.533333333
rejected,offended,5.8
distressed,frustrated,7.2
stunned,anxious,4.066666667
stupefied,furious,3.2
mad,disappointed,6.133333333
infuriated,mournful,3.066666667
bored,confused,1.933333333
neutral,bored,5.571428571
concerned,sad,4.2
resentful,scornful,7.866666667
furious,joyful,0
frightened,excited,2.133333333
dissatisfied,distressed,6.25
bored,joyful,0.4
perplexed,dissatisfied,3.866666667
disgusted,repelled,9.083333333
incensed,revolted,7
revolted,irate,6.466666667
terrified,hostile,5.461538462
amazed,perplexed,6
scared,interested,0.785714286
disappointed,terrified,2.933333333
astonished,saddened,3.133333333
mournful,mad,3.333333333
hostile,revolted,6.714285714
miffed,concerned,3.5
dismayed,aghast,6.714285714
excited,incensed,2.533333333
interested,neutral,1.4
happy,delighted,9.533333333
discouraged,bothered,6
uncertain,startled,4.466666667
sad,dissatisfied,6.533333333
delighted,upset,0
scornful,depressed,4.866666667
repulsed,hurt,5.266666667
pissed,displeased,8
mad,displeased,8.4
angry,perplexed,2.8
resentful,bewildered,2.666666667
concerned,frightened,5.2
amused,irate,0.466666667
repelled,aghast,5.4
suspicious,amused,0.8
surprised,incensed,3.214285714
pleased,scared,0.533333333
bothered,cheerful,0.571428571
outraged,interested,1.266666667
astounded,disgusted,2.733333333
startled,resentful,1.8
awed,dejected,0.785714286
offended,surprised,1.769230769
satisfied,skeptical,0.866666667
hostile,rejected,4.466666667
mournful,doubtful,3.2
cheerful,satisfied,6.533333333
joyful,annoyed,0.333333333
amazed,infuriated,0.571428571
astonished,appalled,4.4
hurt,bored,1.2
saddened,uncertain,3.533333333
amused,disdainful,0.666666667
saddened,astounded,2.6
appalled,alarmed,6.692307692
interested,amused,6.857142857
scornful,neutral,0.384615385
doubtful,rejected,5.2
depressed,angry,3.666666667
bewildered,appalled,5.466666667
scared,resentful,2.6
awed,awed,10
sad,bewildered,3.357142857
repelled,disbelieving,4.642857143
excited,repulsed,1.214285714
uncertain,offended,2.266666667
disappointed,awed,0.461538462
upset,sad,8.615384615
anxious,apprehensive,8.928571429
disbelieving,concerned,4.733333333
satisfied,delighted,7.6